battery,category,cpu_name,cpu_type,disk,graphic,id,keyboard_light,name,ram,resolution,ssd,weight
,hoc-tap-van-phong,AMD Ryzen™ 7,3700U,256 GB,Vega 10,,,LAPTOP HP ENVY X360 (6ZF34PA),,,1,1.3 kg
,hoc-tap-van-phong,Intel Core i5,8250U,1TB,Intel UHD Graphics 620,,,LAPTOP DELL VOSTRO 15 3578 (NGMPF22),,,0,2.2 kg
,hoc-tap-van-phong,Intel Core i5,8250U,1TB,NVIDIA GeForce MX130,,,Laptop Asus X507UF-EJ078T,,,0,1.68 kg
,hoc-tap-van-phong,Intel Core i5,8265U,512 GB,Intel UHD Graphics 620,,,Laptop Asus X509FA-EJ103T,,,1,1.8 kg
,hoc-tap-van-phong,Intel Core i3,7020U,,Intel HD Graphics 620,,,Laptop Dell Inspiron 3481 (030CX1),,,0,1.7 kg
,hoc-tap-van-phong,Intel Core i5,8265U,1TB,AMD Radeon 520,,,LAPTOP DELL INSPIRON 3480I (P89G003N80I),,,0,1.9 kg
,hoc-tap-van-phong,Intel Core i5,8265U,1TB,Intel UHD Graphics 620,,,LAPTOP ASUS VIVOBOOK A412FA-EK153T,,,0,1.5 kg
,hoc-tap-van-phong,Core i5,8265U,256 GB,Intel UHD Graphics 620,,,Laptop Acer Aspire 3 A315-54-57PJ,,,1,1.7 kg
,hoc-tap-van-phong,Intel Core i3,8145U,1TB,Intel UHD Graphics 620,,,Laptop HP Pavilion 14 CE2034TU (6YZ17PA),,,0,
,hoc-tap-van-phong,Intel Core i3,7020U,256 GB,Intel HD Graphics 620,,,LAPTOP ACER ASPIRE 3 A315-54K-36QU (NX.HEESV.007),,,1,1.9 kg
,hoc-tap-van-phong,Intel Core i7,8550U,1TB,NVIDIA GeForce MX130,,,Laptop Asus X507UF-EJ079T,,,0,1.5 kg
,hoc-tap-van-phong,Intel Core i7,8550U,1TB,NVIDIA GeForce MX110,,,LAPTOP ASUS X407U - BV147T,,,0,1.52 kg
,hoc-tap-van-phong,Intel Core i5,8265U,1TB,AMD Radeon 520,,,Laptop Dell Vostro V3580I (P75F010V80I),,,0,2.2 kg
,hoc-tap-van-phong,Intel Core i5,8250U,,Intel UHD Graphics 620,,,LAPTOP ACER ASPIRE E5-476-50SZ,,,0,2.0 kg
,hoc-tap-van-phong,Intel Core i5,8265U,512 GB,Intel UHD Graphics 620,,,LAPTOP ASUS VIVOBOOK A512FA-EJ440T,,,1,1.7 kg
