Unnamed: 0,id,title,brand,price,weight,cpu,ssd,ram,battery
291,42699363,Laptop Acer Aspire 3 A315-54K-31DA NX.HFYSV.001 (Core i3-7020U/ 4GB DDR4 2133MHz/ 256GB SSD M.2 PCIE/ 15.6 FHD/ Win10) - Hàng Chính Hãng,Acer,9379000,,7020U,True,4GB,4 Cell
292,32436508,Laptop HP ProBook 450 G6 8AZ17PA Core i5-8265U/ Dos (15.6 FHD) - Hàng Chính Hãng,HP,16919000,1.85,Intel Core i5,,8GB,3 Cell 45WHr
293,26412848,Laptop HP Pavilion x360 14-dh0104TU 6ZF32PA Core  i5-8265U/ Win10 (14 FHD Touch) - Hàng Chính Hãng,HP,15559000,1.38,Intel Core i5,,4GB,2-Cell 37.2 Whr
294,34419685,Laptop HP Pavilion Gaming 15-dk0001TX 7HR11PA Core i5-9300H/ GTX 1650 4GB/ Win10 (15.6 FHD IPS) - Hàng Chính Hãng,HP,22909000,2.23,Intel Core i5,True,8GB,3 Cell 52.5WHr
295,10267527,Laptop Acer Swift 5 SF514-52T-811W NX.GU4SV.005 Core i7-8550U/Win10 (14,Acer,27099000,1,Intel Core i7,True,8GB,"2 cell 36Whrs, Pin liền"
296,22046687,Laptop Lenovo ThinkPad X390 20Q0S03M00 Core i5-8265U/ Dos (13.3 FHD IPS) - Hàng Chính Hãng,Lenovo,28429000,,Intel Core i5,True,8GB,6 Cell 48WHr
297,11417065,Laptop Dell Inspiron 3576-C5I31132- Intel Core i3 7020U /Free Dos (15.6inch) (Black) - Hàng Chính Hãng,Dell,10990000,,,,,
298,8819972,Laptop Lenovo V130-14IKB 81HQ00EQVN Core i3-7020U/Free Dos (14,Lenovo,8250000,1.5,Intel Core i3,False,4GB,"2 Cell 30Wh, Pin liền"
299,29165864,"Laptop Asus ROG Zephyrus S GX502GV-AZ061T Core i7-9750H/ RTX 2060 6GB/ Win10 (15.6 FHD IPS 240Hz G-Sync, 3ms) - Hàng Chính Hãng",Asus,50779000,2.0,,True,16GB DDR4 2666MHz,4 Cell 76WHr
300,39112083,Laptop Asus Vivobook X409FA-EK156T Core i3-8145U/ Win10 (14 FHD) - Hàng Chính Hãng,Asus,10649000,1.60,Intel Core i3,False,4GB,"32WHrs, 2S1P, 2-cell Li-ion"
301,34391664,Laptop Asus Vivobook S531FA-BQ105T Core i5-8265U/ Win10 (15.6 FHD IPS) - Hàng Chính Hãng,Asus,17229000,,Intel Core i5-8265U 1.6GHz up to 3.9GHz 6MB,True,8GB DDR4 2400MHz,3 Cells 42WHrs
302,848930,Laptop Dell Latitude 7280-70124696 - Core i7-7600U/Win10 (12.5 inch) - Đen - Hàng Chính Hãng,Dell,29309000,,Intel Core i7,True,8GB,3Cells 37 Whrs
